Game;;Result;Moves;Year;Event/Locale;Opening
523. Karpov vs Kasparov;;½-½;71;1985;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
524. Kasparov vs Karpov;;½-½;26;1985;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
525. Karpov vs Kasparov;;½-½;21;1985;Karpov - Kasparov World Championship Match 1984/85;B84 Sicilian, Scheveningen
Game;;Result;Moves;Year;Event/Locale;Opening
526. Kasparov vs Karpov;;½-½;38;1985;Karpov - Kasparov World Championship Match 1984/85;C92 Ruy Lopez, Closed
527. Karpov vs Kasparov;;½-½;36;1985;Karpov - Kasparov World Championship Match 1984/85;B83 Sicilian
528. Kasparov vs Karpov;;½-½;44;1985;Karpov - Kasparov World Championship Match 1984/85;C92 Ruy Lopez, Closed
529. Karpov vs Kasparov;;0-1;32;1985;Karpov - Kasparov World Championship Match 1984/85;D52 Queen's Gambit Declined
530. Kasparov vs Karpov;;1-0;67;1985;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
531. Kasparov vs Landa;;0-1;47;1985;Clock simul;E73 King's Indian
532. Huebner vs Kasparov;;0-1;28;1985;Huebner-Kasparov Match;A21 English
533. Kasparov vs Huebner;;1-0;39;1985;Huebner-Kasparov Match;D53 Queen's Gambit Declined
534. Andersson vs Kasparov;;½-½;44;1985;Kasparov-Andersson Match;D43 Queen's Gambit Declined Semi-Slav
535. Andersson vs Kasparov;;½-½;24;1985;Kasparov-Andersson Match;A15 English
536. Kasparov vs Andersson;;½-½;36;1985;Kasparov-Andersson Match;E04 Catalan, Open, 5.Nf3
537. Kasparov vs Andersson;;1-0;40;1985;Kasparov-Andersson Match;E04 Catalan, Open, 5.Nf3
538. Kasparov vs Andersson;;1-0;50;1985;Kasparov-Andersson Match;E06 Catalan, Closed, 5.Nf3
539. Kasparov vs D Steinwender;;1-0;20;1985;Hamburg;A51 Budapest Gambit
540. Kasparov vs R Gruenberg;;½-½;56;1985;Hamburg;D20 Queen's Gambit Accepted
541. Kasparov vs Huebner;;½-½;27;1985;Huebner-Kasparov Match;E00 Queen's Pawn Game
542. Huebner vs Kasparov;;½-½;39;1985;Huebner-Kasparov Match;B63 Sicilian, Richter-Rauzer Attack
543. Andersson vs Kasparov;;½-½;24;1985;Kasparov-Andersson Match;A13 English
544. Huebner vs Kasparov;;½-½;40;1985;Huebner-Kasparov Match;B63 Sicilian, Richter-Rauzer Attack
545. Kasparov vs Huebner;;1-0;60;1985;Huebner-Kasparov Match;E15 Queen's Indian
546. Kasparov vs W Runkel;;0-1;25;1985;Hamburg sim-31;A57 Benko Gambit
547. Kasparov vs F Magath;;1-0;34;1985;Simul;D30 Queen's Gambit Declined
548. Kasparov vs Mephisto;;1-0;21;1985;Hamburg sim-32 (7);A07 King's Indian Attack
549. Kasparov vs Mephisto;;1-0;43;1985;Hamburg sim-32 (6);E01 Catalan, Closed
550. Kasparov vs Fidelity;;1-0;40;1985;Hamburg sim-32 (11);A48 King's Indian
Game;;Result;Moves;Year;Event/Locale;Opening
551. Kasparov vs Elite A/S Experimental;;1-0;74;1985;Hamburg sim-32 (10);D20 Queen's Gambit Accepted
552. Kasparov vs Constellation;;1-0;36;1985;Hamburg sim-32 (24);A21 English
553. Kasparov vs Constellation;;1-0;34;1985;Hamburg sim-32 (20);A34 English, Symmetrical
554. Kasparov vs Mephisto;;1-0;41;1985;Hamburg sim-32 (5);D11 Queen's Gambit Declined Slav
555. Kasparov vs Mephisto;;1-0;21;1985;Hamburg sim-32 (7);A07 King's Indian Attack
556. Kasparov vs Mephisto;;1-0;43;1985;Hamburg sim-32 (6);E01 Catalan, Closed
557. Kasparov vs Turbostar;;1-0;45;1985;Hamburg sim-32 (25);C00 French Defense
558. Kasparov vs Elite A/S Experimental;;1-0;37;1985;Hamburg sim-32 (13);D20 Queen's Gambit Accepted
559. Kasparov vs Fidelity;;1-0;40;1985;Hamburg sim-32 (11);A48 King's Indian
560. Kasparov vs Turbostar;;1-0;34;1985;Hamburg sim-32 (27);A20 English
561. Kasparov vs Constellation;;1-0;40;1985;Hamburg sim-32 (19);C97 Ruy Lopez, Closed, Chigorin
562. Kasparov vs Fidelity;;1-0;33;1985;Hamburg sim-32 (12);A55 Old Indian, Main line
563. Kasparov vs Turbostar;;1-0;44;1985;Hamburg sim-32 (26);A13 English
564. Kasparov vs Constellation;;1-0;73;1985;Hamburg sim-32 (22);A34 English, Symmetrical
565. Kasparov vs Elite A/S Experimental;;1-0;35;1985;Hamburg sim-32 (15);D85 Grunfeld
566. Kasparov vs Constellation;;1-0;44;1985;Hamburg sim-32 (17);C85 Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)
567. Kasparov vs Elite A/S Experimental;;1-0;36;1985;Hamburg sim-32 (16);D24 Queen's Gambit Accepted
568. Kasparov vs Constellation;;1-0;60;1985;Hamburg sim-32 (21);A30 English, Symmetrical
569. Kasparov vs Turbostar;;1-0;50;1985;Hamburg sim-32 (28);D85 Grunfeld
570. Kasparov vs Mephisto;;1-0;42;1985;Hamburg sim-32 (2);B90 Sicilian, Najdorf
571. Kasparov vs Elite A/S Experimental;;1-0;34;1985;Hamburg sim-32 (14);B22 Sicilian, Alapin
572. Kasparov vs Constellation;;1-0;59;1985;Hamburg sim-32 (18);D20 Queen's Gambit Accepted
573. Kasparov vs Superstar 36K;;1-0;29;1985;Hamburg sim-32 (29);D38 Queen's Gambit Declined, Ragozin Variation
574. Kasparov vs Constellation;;1-0;40;1985;Hamburg sim-32 (23);A67 Benoni, Taimanov Variation
575. Kasparov vs Mephisto;;1-0;41;1985;Hamburg sim-32 (3);C72 Ruy Lopez, Modern Steinitz Defense, 5.O-O
Game;;Result;Moves;Year;Event/Locale;Opening
576. Kasparov vs Turbostar;;1-0;45;1985;Hamburg sim-32 (25);C00 French Defense
577. Kasparov vs Mephisto;;1-0;42;1985;Hamburg sim-32 (2);B90 Sicilian, Najdorf
578. Kasparov vs Mephisto;;1-0;43;1985;Hamburg sim-32 (1);B14 Caro-Kann, Panov-Botvinnik Attack
579. Kasparov vs Elite A/S Experimental;;1-0;74;1985;Hamburg sim-32 (10);D20 Queen's Gambit Accepted
580. Kasparov vs Andreas Roepert;;1-0;32;1985;Blindfold simul, 10b;E43 Nimzo-Indian, Fischer Variation
581. Kasparov vs Mephisto;;1-0;36;1985;Blindfold simul, 10b;C97 Ruy Lopez, Closed, Chigorin
582. Kasparov vs Karpov;;1-0;42;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
583. Karpov vs Kasparov;;½-½;65;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
584. Kasparov vs Karpov;;½-½;20;1985;Karpov - Kasparov World Championship Match;D37 Queen's Gambit Declined
585. Karpov vs Kasparov;;1-0;63;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
586. Kasparov vs Karpov;;0-1;41;1985;Karpov - Kasparov World Championship Match;C92 Ruy Lopez, Closed
587. Karpov vs Kasparov;;½-½;27;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
588. Kasparov vs Karpov;;½-½;31;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
589. Karpov vs Kasparov;;½-½;49;1985;Karpov - Kasparov World Championship Match;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
590. Kasparov vs Karpov;;½-½;53;1985;Karpov - Kasparov World Championship Match;C92 Ruy Lopez, Closed
591. Karpov vs Kasparov;;½-½;37;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
592. Kasparov vs Karpov;;1-0;25;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
593. Karpov vs Kasparov;;½-½;18;1985;Karpov - Kasparov World Championship Match;B44 Sicilian
594. Kasparov vs Karpov;;½-½;24;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
595. Karpov vs Kasparov;;½-½;32;1985;Karpov - Kasparov World Championship Match;B45 Sicilian, Taimanov
596. Kasparov vs Karpov;;½-½;28;1985;Karpov - Kasparov World Championship Match;C42 Petrov Defense
597. Karpov vs Kasparov;;0-1;40;1985;Karpov - Kasparov World Championship Match;B44 Sicilian
598. Kasparov vs Karpov;;½-½;29;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
599. Karpov vs Kasparov;;½-½;25;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
600. Kasparov vs Karpov;;1-0;42;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
Game;;Result;Moves;Year;Event/Locale;Opening
601. Karpov vs Kasparov;;½-½;85;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
602. Kasparov vs Karpov;;½-½;46;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
603. Karpov vs Kasparov;;1-0;42;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
604. Kasparov vs Karpov;;½-½;41;1985;Karpov - Kasparov World Championship Match;D55 Queen's Gambit Declined
605. Karpov vs Kasparov;;0-1;42;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
606. Kasparov vs R Gruenberg;;1-0;50;1985;Simul, 8b;A34 English, Symmetrical
607. Kasparov vs H Wegner;;½-½;33;1985;Simul, 8b;A33 English, Symmetrical
608. Chandler vs Kasparov;;1-0;33;1985;Simul, 8b;B45 Sicilian, Taimanov
609. F Behrhorst vs Kasparov;;0-1;50;1985;Simul, 8b;D93 Grunfeld, with Bf4 & e3
610. M Wahls vs Kasparov;;1-0;29;1985;Simul, 8b;B52 Sicilian, Canal-Sokolsky (Rossolimo) Attack
611. Kasparov vs H Reefschlaeger;;½-½;26;1985;Simul, 8b;D16 Queen's Gambit Declined Slav
612. H J Cordes vs Kasparov;;1-0;53;1985;Simul, 8b;D44 Queen's Gambit Declined Semi-Slav
613. Kasparov vs C Hess Sr.;;½-½;28;1985;Simul, 8b;A57 Benko Gambit
614. Timman vs Kasparov;;0-1;51;1985;KRO Match;C93 Ruy Lopez, Closed, Smyslov Defense
615. Kasparov vs Timman;;1-0;35;1985;KRO Match;E12 Queen's Indian
616. Timman vs Kasparov;;1-0;41;1985;KRO Match;C93 Ruy Lopez, Closed, Smyslov Defense
617. Kasparov vs Timman;;½-½;62;1985;KRO Match;E12 Queen's Indian
618. Timman vs Kasparov;;½-½;34;1985;KRO Match;C69 Ruy Lopez, Exchange, Gligoric Variation
619. Kasparov vs Timman;;1-0;41;1985;KRO Match;E12 Queen's Indian
620. Kasparov vs V Akopian;;1-0;41;1986;Botvinnik school clock simul;E97 King's Indian
621. Kasparov vs Shirov;;½-½;44;1986;Simul;A34 English, Symmetrical
622. Kasparov vs Richter;;½-½;36;1986;Frankfurt;A80 Dutch
623. Kasparov vs P Schuermann;;1-0;28;1986;Exhibition game;C30 King's Gambit Declined
624. Kasparov vs J Zollbrecht;;½-½;49;1986;Mnchen;D91 Grunfeld, 5.Bg5
625. Kasparov vs M Wahls;;1-0;26;1986;Frankfurt;A70 Benoni, Classical with 7.Nf3
Game;;Result;Moves;Year;Event/Locale;Opening
626. Kasparov vs V Akopian;;1-0;41;1986;Botvinnik school clock simul;E97 King's Indian
627. Miles vs Kasparov;;0-1;69;1986;Miles - Kasparov Match;D11 Queen's Gambit Declined Slav
628. Miles vs Kasparov;;0-1;29;1986;Miles - Kasparov Match;D49 Queen's Gambit Declined Semi-Slav, Meran
629. Kasparov vs Miles;;1-0;31;1986;Miles - Kasparov Match;A46 Queen's Pawn Game
630. Miles vs Kasparov;;½-½;23;1986;Miles - Kasparov Match;D49 Queen's Gambit Declined Semi-Slav, Meran
631. Kasparov vs Miles;;1-0;42;1986;Miles - Kasparov Match;A56 Benoni Defense
632. Kasparov vs Miles;;1-0;28;1986;Miles - Kasparov Match;D44 Queen's Gambit Declined Semi-Slav
633. Kasparov vs N McDonald;;½-½;55;1986;Simul, 21b;E94 King's Indian, Orthodox
634. Kasparov vs Adams;;1-0;48;1986;Simul, 21b;A28 English
635. Karpov vs Kasparov;;½-½;21;1986;Kasparov - Karpov World Championship Rematch;D92 Grunfeld, 5.Bf4
636. Kasparov vs Karpov;;½-½;52;1986;Kasparov - Karpov World Championship Rematch;E21 Nimzo-Indian, Three Knights
637. Karpov vs Kasparov;;½-½;35;1986;Kasparov - Karpov World Championship Rematch;E60 King's Indian Defense
638. Kasparov vs Karpov;;1-0;41;1986;Kasparov - Karpov World Championship Rematch;E21 Nimzo-Indian, Three Knights
639. Karpov vs Kasparov;;1-0;32;1986;Kasparov - Karpov World Championship Rematch;D82 Grunfeld, 4.Bf4
640. Kasparov vs Karpov;;½-½;42;1986;Kasparov - Karpov World Championship Rematch;C42 Petrov Defense
641. Karpov vs Kasparov;;½-½;43;1986;Kasparov - Karpov World Championship Rematch;D31 Queen's Gambit Declined
642. Kasparov vs Karpov;;1-0;31;1986;Kasparov - Karpov World Championship Rematch;D31 Queen's Gambit Declined
643. Karpov vs Kasparov;;½-½;20;1986;Kasparov - Karpov World Championship Rematch;D82 Grunfeld, 4.Bf4
644. Kasparov vs Karpov;;½-½;43;1986;Kasparov - Karpov World Championship Rematch;D55 Queen's Gambit Declined
645. Karpov vs Kasparov;;½-½;41;1986;Kasparov - Karpov World Championship Rematch;D82 Grunfeld, 4.Bf4
646. Kasparov vs Karpov;;½-½;34;1986;Kasparov - Karpov World Championship Rematch;D55 Queen's Gambit Declined
647. Karpov vs Kasparov;;½-½;40;1986;Kasparov - Karpov World Championship Rematch;E60 King's Indian Defense
648. Kasparov vs Karpov;;1-0;48;1986;Kasparov - Karpov World Championship Rematch;C92 Ruy Lopez, Closed
649. Karpov vs Kasparov;;½-½;29;1986;Kasparov - Karpov World Championship Rematch;D98 Grunfeld, Russian
650. Kasparov vs Karpov;;1-0;41;1986;Kasparov - Karpov World Championship Rematch;C92 Ruy Lopez, Closed
Game;;Result;Moves;Year;Event/Locale;Opening
651. Karpov vs Kasparov;;1-0;31;1986;Kasparov - Karpov World Championship Rematch;D98 Grunfeld, Russian
652. Kasparov vs Karpov;;0-1;58;1986;Kasparov - Karpov World Championship Rematch;E12 Queen's Indian
653. Karpov vs Kasparov;;1-0;41;1986;Kasparov - Karpov World Championship Rematch;D97 Grunfeld, Russian
654. Kasparov vs Karpov;;½-½;21;1986;Kasparov - Karpov World Championship Rematch;E06 Catalan, Closed, 5.Nf3
655. Karpov vs Kasparov;;½-½;49;1986;Kasparov - Karpov World Championship Rematch;E15 Queen's Indian
656. Kasparov vs Karpov;;1-0;46;1986;Kasparov - Karpov World Championship Rematch;D55 Queen's Gambit Declined
657. Karpov vs Kasparov;;½-½;38;1986;Kasparov - Karpov World Championship Rematch;A15 English
658. Kasparov vs Karpov;;½-½;41;1986;Kasparov - Karpov World Championship Rematch;E16 Queen's Indian
659. Granda Zuniga vs Kasparov;;0-1;24;1986;Dubai Olympiad;D78 Neo-Grunfeld, 6.O-O c6
660. Kasparov vs Smejkal;;1-0;41;1986;Dubai Olympiad;C92 Ruy Lopez, Closed
661. Portisch vs Kasparov;;½-½;71;1986;Dubai Olympiad;D45 Queen's Gambit Declined Semi-Slav
662. Kasparov vs Miles;;1-0;41;1986;Dubai Olympiad;E12 Queen's Indian
663. Kasparov vs H Olafsson;;1-0;41;1986;Dubai Olympiad;D55 Queen's Gambit Declined
664. Seirawan vs Kasparov;;1-0;62;1986;Dubai Olympiad;D91 Grunfeld, 5.Bg5
665. Kasparov vs Spassky;;½-½;11;1986;Dubai Olympiad;E21 Nimzo-Indian, Three Knights
666. Kasparov vs Suba;;½-½;63;1986;Dubai Olympiad;E21 Nimzo-Indian, Three Knights
667. J Fernandez Garcia vs Kasparov;;0-1;40;1986;Dubai Olympiad;B44 Sicilian
668. Kasparov vs S Tatai;;1-0;41;1986;Dubai Olympiad;D38 Queen's Gambit Declined, Ragozin Variation
669. W Schmidt vs Kasparov;;0-1;56;1986;Dubai Olympiad;A57 Benko Gambit
670. Nunn vs Kasparov;;0-1;27;1986;OHRA-A;B97 Sicilian, Najdorf
671. Kasparov vs Korchnoi;;½-½;42;1986;OHRA-A;E11 Bogo-Indian Defense
672. Huebner vs Kasparov;;0-1;38;1986;OHRA-A;D90 Grunfeld
673. Short vs Kasparov;;1-0;45;1986;OHRA-A;B80 Sicilian, Scheveningen
674. Kasparov vs Portisch;;1-0;63;1986;OHRA-A;D61 Queen's Gambit Declined, Orthodox, Rubinstein Attack
675. Kasparov vs Nunn;;1-0;18;1986;OHRA-A;E60 King's Indian Defense
Game;;Result;Moves;Year;Event/Locale;Opening
676. Korchnoi vs Kasparov;;½-½;24;1986;OHRA-A;D31 Queen's Gambit Declined
677. Kasparov vs Huebner;;1-0;32;1986;OHRA-A;D46 Queen's Gambit Declined Semi-Slav
678. Kasparov vs Short;;1-0;33;1986;OHRA-A;D55 Queen's Gambit Declined
679. Portisch vs Kasparov;;½-½;21;1986;OHRA-A;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
680. Janjghava vs Kasparov;;0-1;32;1987;Baku;D97 Grunfeld, Russian
681. Beliavsky vs Kasparov;;½-½;26;1987;Moscow;D97 Grunfeld, Russian
682. Kasparov vs Beliavsky;;1-0;44;1987;Moscow;D35 Queen's Gambit Declined
683. Landa vs Kasparov;;½-½;56;1987;Clock simul;B21 Sicilian, 2.f4 and 2.d4
684. Tal vs Kasparov;;½-½;37;1987;Moscow;E66 King's Indian, Fianchetto, Yugoslav Panno
685. Kasparov vs Tal;;½-½;70;1987;Blitz;E41 Nimzo-Indian
686. H Wegner vs Kasparov;;0-1;23;1987;Kasparov Simul, 8b Hamburg;D97 Grunfeld, Russian
687. Kasparov vs O Schulte;;½-½;30;1987;Kasparov Simul, 8b Hamburg;D32 Queen's Gambit Declined, Tarrasch
688. M Wahls vs Kasparov;;0-1;50;1987;Kasparov Simul, 8b Hamburg;B33 Sicilian
689. R Gruenberg vs Kasparov;;0-1;22;1987;Kasparov Simul, 8b Hamburg;A21 English
690. Kasparov vs H J Cordes;;1-0;34;1987;Kasparov Simul, 8b Hamburg;D38 Queen's Gambit Declined, Ragozin Variation
691. F Behrhorst vs Kasparov;;½-½;52;1987;Kasparov Simul, 8b Hamburg;E06 Catalan, Closed, 5.Nf3
692. Kasparov vs B Stein;;1-0;25;1987;Kasparov Simul, 8b Hamburg;A55 Old Indian, Main line
693. H Reefschlaeger vs Kasparov;;0-1;40;1987;Kasparov Simul, 8b Hamburg;A40 Queen's Pawn Game
694. Short vs Kasparov;;0-1;52;1987;Rapid Match;B80 Sicilian, Scheveningen
695. Kasparov vs Short;;1-0;60;1987;Rapid Match;A90 Dutch
696. Kasparov vs Short;;0-1;50;1987;Rapid Match;D02 Queen's Pawn Game
697. Kasparov vs Short;;1-0;52;1987;Rapid Match;A41 Queen's Pawn Game (with ...d6)
698. Short vs Kasparov;;1-0;45;1987;Rapid Match;B80 Sicilian, Scheveningen
699. Short vs Kasparov;;0-1;56;1987;Rapid Match;B52 Sicilian, Canal-Sokolsky (Rossolimo) Attack
700. R Meulders vs Kasparov;;0-1;62;1987;SWIFT Tournament 2nd;E41 Nimzo-Indian
Game;;Result;Moves;Year;Event/Locale;Opening
701. Kasparov vs Van der Wiel;;1-0;27;1987;SWIFT Tournament 2nd;D46 Queen's Gambit Declined Semi-Slav
702. Winants vs Kasparov;;0-1;55;1987;SWIFT Tournament 2nd;D59 Queen's Gambit Declined, Tartakower
703. Kasparov vs Short;;1-0;60;1987;SWIFT Tournament 2nd;A92 Dutch
704. E Torre vs Kasparov;;½-½;29;1987;SWIFT Tournament 2nd;A48 King's Indian
705. Kasparov vs Timman;;½-½;25;1987;SWIFT Tournament 2nd;E11 Bogo-Indian Defense
706. Korchnoi vs Kasparov;;½-½;17;1987;SWIFT Tournament 2nd;A15 English
707. Larsen vs Kasparov;;0-1;43;1987;SWIFT Tournament 2nd;D34 Queen's Gambit Declined, Tarrasch
708. Kasparov vs Ljubojevic;;½-½;15;1987;SWIFT Tournament 2nd;D10 Queen's Gambit Declined Slav
709. Karpov vs Kasparov;;½-½;53;1987;SWIFT Tournament 2nd;E60 King's Indian Defense
710. Kasparov vs Tal;;1-0;31;1987;SWIFT Tournament 2nd;E48 Nimzo-Indian, 4.e3 O-O 5.Bd3 d5
711. Kasparov vs Sosonko;;1-0;34;1987;SWIFT Blitz;A13 English
712. Kasparov vs Timman;;1-0;64;1987;SWIFT Blitz;E11 Bogo-Indian Defense
713. Korchnoi vs Kasparov;;½-½;35;1987;SWIFT Blitz;A15 English
714. Short vs Kasparov;;1-0;41;1987;SWIFT Blitz;B50 Sicilian
715. Timman vs Kasparov;;½-½;34;1987;SWIFT Blitz;D91 Grunfeld, 5.Bg5
716. Van der Wiel vs Kasparov;;0-1;35;1987;SWIFT Blitz;B50 Sicilian
717. Kasparov vs Korchnoi;;½-½;51;1987;SWIFT Blitz;A13 English
718. Kasparov vs Short;;1-0;24;1987;SWIFT Blitz;E11 Bogo-Indian Defense
719. Sosonko vs Kasparov;;0-1;63;1987;SWIFT Blitz;D97 Grunfeld, Russian
720. Kasparov vs Van der Wiel;;1-0;42;1987;SWIFT Blitz;E63 King's Indian, Fianchetto, Panno Variation
721. Karpov vs Kasparov;;½-½;42;1987;SWIFT Blitz;E64 King's Indian, Fianchetto, Yugoslav System
722. Kasparov vs Karpov;;1-0;59;1987;SWIFT Blitz;E12 Queen's Indian
723. Kasparov vs Ljubojevic;;1-0;37;1987;SWIFT Blitz;A40 Queen's Pawn Game
724. Timman vs Kasparov;;½-½;39;1987;SWIFT Blitz;B52 Sicilian, Canal-Sokolsky (Rossolimo) Attack
725. Larsen vs Kasparov;;0-1;46;1987;SWIFT Blitz;B45 Sicilian, Taimanov
Game;;Result;Moves;Year;Event/Locale;Opening
726. Timman vs Kasparov;;½-½;34;1987;SWIFT Blitz;D91 Grunfeld, 5.Bg5
727. Kasparov vs Larsen;;1-0;24;1987;SWIFT Blitz;D32 Queen's Gambit Declined, Tarrasch
728. Huebner vs Kasparov;;0-1;36;1987;SWIFT Blitz;A21 English
729. Larsen vs Kasparov;;0-1;46;1987;SWIFT Blitz;B45 Sicilian, Taimanov
730. Van der Wiel vs Kasparov;;0-1;35;1987;SWIFT Blitz;B50 Sicilian
731. Sosonko vs Kasparov;;0-1;63;1987;SWIFT Blitz;D97 Grunfeld, Russian
732. Karpov vs Kasparov;;½-½;42;1987;SWIFT Blitz;E64 King's Indian, Fianchetto, Yugoslav System
733. Kasparov vs Karpov;;1-0;59;1987;SWIFT Blitz;E12 Queen's Indian
734. Kasparov vs Timman;;1-0;16;1987;SWIFT Blitz;A40 Queen's Pawn Game
735. Kasparov vs T Krabbe;;1-0;38;1987;Simul, 30b;D43 Queen's Gambit Declined Semi-Slav
736. Kasparov vs J Arts;;1-0;25;1987;Simul, 41b;C36 King's Gambit Accepted, Abbazia Defense
737. Kasparov vs J Arts;;1-0;23;1987;Simul, 41b;A51 Budapest Gambit
738. Kasparov vs Computer;;1-0;28;1987;Simul, 41b;D15 Queen's Gambit Declined Slav
739. B Zueger vs Kasparov;;0-1;41;1987;Kasparov Simul, 6b Zurich;D34 Queen's Gambit Declined, Tarrasch
740. Kasparov vs M Trepp;;1-0;27;1987;Kasparov Simul, 6b Zurich;A46 Queen's Pawn Game
741. Hug vs Kasparov;;½-½;35;1987;Kasparov Simul, 6b Zurich;A07 King's Indian Attack
742. Kasparov vs H Wirthensohn;;1-0;25;1987;Kasparov Simul, 6b Zurich;E43 Nimzo-Indian, Fischer Variation
743. Kasparov vs A Huss;;1-0;38;1987;Kasparov Simul, 6b Zurich;E09 Catalan, Closed
744. F Gobet vs Kasparov;;0-1;34;1987;Kasparov Simul, 6b Zurich;B33 Sicilian
745. Karpov vs Kasparov;;½-½;30;1987;Kasparov - Karpov World Championship Match;E60 King's Indian Defense
746. Kasparov vs Karpov;;0-1;32;1987;Kasparov - Karpov World Championship Match;A29 English, Four Knights, Kingside Fianchetto
747. Karpov vs Kasparov;;½-½;29;1987;Kasparov - Karpov World Championship Match;E60 King's Indian Defense
748. Kasparov vs Karpov;;1-0;41;1987;Kasparov - Karpov World Championship Match;A29 English, Four Knights, Kingside Fianchetto
749. Karpov vs Kasparov;;1-0;38;1987;Kasparov - Karpov World Championship Match;D87 Grunfeld, Exchange
750. Kasparov vs Karpov;;½-½;28;1987;Kasparov - Karpov World Championship Match;A25 English
Game;;Result;Moves;Year;Event/Locale;Opening
751. Karpov vs Kasparov;;½-½;79;1987;Kasparov - Karpov World Championship Match;D87 Grunfeld, Exchange
752. Kasparov vs Karpov;;1-0;50;1987;Kasparov - Karpov World Championship Match;A21 English
753. Karpov vs Kasparov;;½-½;70;1987;Kasparov - Karpov World Championship Match;D87 Grunfeld, Exchange
754. Kasparov vs Karpov;;½-½;20;1987;Kasparov - Karpov World Championship Match;B17 Caro-Kann, Steinitz Variation
755. Karpov vs Kasparov;;0-1;50;1987;Kasparov - Karpov World Championship Match;D87 Grunfeld, Exchange
756. Kasparov vs Karpov;;½-½;21;1987;Kasparov - Karpov World Championship Match;D31 Queen's Gambit Declined
757. Karpov vs Kasparov;;½-½;36;1987;Kasparov - Karpov World Championship Match;D85 Grunfeld
758. Kasparov vs Karpov;;½-½;21;1987;Kasparov - Karpov World Championship Match;B17 Caro-Kann, Steinitz Variation
759. Karpov vs Kasparov;;½-½;43;1987;Kasparov - Karpov World Championship Match;D97 Grunfeld, Russian
760. Kasparov vs Karpov;;0-1;41;1987;Kasparov - Karpov World Championship Match;A29 English, Four Knights, Kingside Fianchetto
761. Karpov vs Kasparov;;½-½;46;1987;Kasparov - Karpov World Championship Match;E97 King's Indian
762. Kasparov vs Karpov;;½-½;40;1987;Kasparov - Karpov World Championship Match;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
763. Karpov vs Kasparov;;½-½;62;1987;Kasparov - Karpov World Championship Match;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
764. Kasparov vs Karpov;;½-½;37;1987;Kasparov - Karpov World Championship Match;D53 Queen's Gambit Declined
765. Karpov vs Kasparov;;½-½;28;1987;Kasparov - Karpov World Championship Match;D97 Grunfeld, Russian
766. Kasparov vs Karpov;;½-½;19;1987;Kasparov - Karpov World Championship Match;D37 Queen's Gambit Declined
767. Karpov vs Kasparov;;1-0;57;1987;Kasparov - Karpov World Championship Match;A34 English, Symmetrical
768. Kasparov vs Karpov;;1-0;64;1987;Kasparov - Karpov World Championship Match;A13 English
769. Kasparov vs J Pomes Marcet;;1-0;37;1988;Cup World;A81 Dutch
770. Kasparov vs F Maeser;;½-½;55;1988;Simul;E75 King's Indian, Averbakh, Main line
771. Kasparov vs R Schiendorfer;;1-0;48;1988;Simul;E12 Queen's Indian
772. Kasparov vs Holzke;;0-1;30;1988;Simul;B07 Pirc
773. Kasparov vs W Schweizer;;1-0;28;1988;Simul;D86 Grunfeld, Exchange
774. Kasparov vs L Evers;;1-0;16;1988;Simul;B50 Sicilian
775. Kasparov vs J Kupper;;½-½;27;1988;Simul;B39 Sicilian, Accelerated Fianchetto, Breyer Variation
Game;;Result;Moves;Year;Event/Locale;Opening
776. Kasparov vs R Schiendorfer;;1-0;48;1988;Simul;E12 Queen's Indian
777. Kasparov vs J Kupper;;½-½;27;1988;Simul;B39 Sicilian, Accelerated Fianchetto, Breyer Variation
778. Kasparov vs L Evers;;1-0;16;1988;Simul;B50 Sicilian
779. A Valles vs Kasparov;;0-1;24;1988;Barcelona sim;B21 Sicilian, 2.f4 and 2.d4
