Game;;Result;Moves;Year;Event/Locale;Opening
1048. Karpov vs Spassky;;½-½;24;1982;World Master Tournament;B81 Sicilian, Scheveningen, Keres Attack
1049. Spassky vs Karpov;;½-½;24;1982;World Master Tournament;C42 Petrov Defense
1050. Karpov vs Ljubojevic;;1-0;28;1982;World Master Tournament;B84 Sicilian, Scheveningen
Game;;Result;Moves;Year;Event/Locale;Opening
1051. Karpov vs Spassky;;½-½;24;1982;World Master Tournament;B81 Sicilian, Scheveningen, Keres Attack
1052. Portisch vs Karpov;;½-½;15;1982;World Master Tournament;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1053. Ljubojevic vs Karpov;;1-0;45;1982;World Master Tournament;C92 Ruy Lopez, Closed
1054. Karpov vs Spassky;;1-0;29;1982;Hamburg TV;A00 Uncommon Opening
1055. Spassky vs Karpov;;1-0;84;1982;Hamburg TV;C34 King's Gambit Accepted
1056. Spassky vs Karpov;;½-½;52;1982;Hamburg TV;C42 Petrov Defense
1057. Nunn vs Karpov;;½-½;41;1982;Hamburg TV;C50 Giuoco Piano
1058. S Bouaziz vs Karpov;;0-1;42;1982;Hamburg TV;C50 Giuoco Piano
1059. Karpov vs Spassky;;1-0;56;1982;Hamburg TV;B08 Pirc, Classical
1060. Karpov vs Nunn;;½-½;39;1982;Hamburg TV;B08 Pirc, Classical
1061. Karpov vs S Bouaziz;;½-½;10;1982;Hamburg TV;A49 King's Indian, Fianchetto without c4
1062. Karpov vs Seirawan;;1-0;38;1982;Hamburg TV;E15 Queen's Indian
1063. Seirawan vs Karpov;;0-1;30;1982;Hamburg TV;D37 Queen's Gambit Declined
1064. Karpov vs Huebner;;1-0;37;1982;Interpolis 6th;B18 Caro-Kann, Classical
1065. Karpov vs Petrosian;;1-0;42;1982;Interpolis 6th;B17 Caro-Kann, Steinitz Variation
1066. E Torre vs Karpov;;0-1;57;1982;Interpolis 6th;E15 Queen's Indian
1067. Karpov vs Portisch;;0-1;32;1982;Interpolis 6th;C42 Petrov Defense
1068. Timman vs Karpov;;½-½;27;1982;Interpolis 6th;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1069. Karpov vs Nunn;;1-0;31;1982;Interpolis 6th;B08 Pirc, Classical
1070. Sosonko vs Karpov;;½-½;16;1982;Interpolis 6th;E06 Catalan, Closed, 5.Nf3
1071. Karpov vs Larsen;;1-0;45;1982;Interpolis 6th;B18 Caro-Kann, Classical
1072. Browne vs Karpov;;½-½;35;1982;Interpolis 6th;D37 Queen's Gambit Declined
1073. Karpov vs Smyslov;;½-½;19;1982;Interpolis 6th;C42 Petrov Defense
1074. Andersson vs Karpov;;½-½;21;1982;Interpolis 6th;E06 Catalan, Closed, 5.Nf3
1075. Karpov vs V Small;;1-0;47;1982;Lucerne Olympiad;B44 Sicilian
Game;;Result;Moves;Year;Event/Locale;Opening
1076. Karpov vs Seirawan;;½-½;47;1982;Lucerne Olympiad;B18 Caro-Kann, Classical
1077. Ljubojevic vs Karpov;;½-½;72;1982;Lucerne Olympiad;C92 Ruy Lopez, Closed
1078. Karpov vs Hort;;1-0;42;1982;Lucerne Olympiad;C99 Ruy Lopez, Closed, Chigorin, 12...cd
1079. Timman vs Karpov;;½-½;51;1982;Lucerne Olympiad;E12 Queen's Indian
1080. Karpov vs Portisch;;1-0;27;1982;Lucerne Olympiad;C42 Petrov Defense
1081. Karpov vs Quinteros;;1-0;46;1982;Lucerne Olympiad;B92 Sicilian, Najdorf, Opocensky Variation
1082. Gheorghiu vs Karpov;;0-1;63;1982;Lucerne Olympiad;E15 Queen's Indian
1083. Karpov vs Tseshkovsky;;0-1;27;1983;RUS Spartakiad;A10 English
1084. Karpov vs Mephisto;;½-½;25;1983;Simul, 21b;C67 Ruy Lopez
1085. Geller vs Karpov;;½-½;18;1983;Linares;A34 English, Symmetrical
1086. Karpov vs Sax;;1-0;39;1983;Linares;B81 Sicilian, Scheveningen, Keres Attack
1087. Andersson vs Karpov;;½-½;67;1983;Linares;E19 Queen's Indian, Old Main line, 9.Qxc3
1088. Karpov vs Yusupov;;½-½;46;1983;Linares;C80 Ruy Lopez, Open
1089. Miles vs Karpov;;½-½;12;1983;Linares;A13 English
1090. Karpov vs Timman;;½-½;45;1983;Linares;B62 Sicilian, Richter-Rauzer
1091. Hort vs Karpov;;½-½;24;1983;Linares;D30 Queen's Gambit Declined
1092. Karpov vs Larsen;;1-0;43;1983;Linares;B18 Caro-Kann, Classical
1093. Spassky vs Karpov;;½-½;18;1983;Linares;A07 King's Indian Attack
1094. Karpov vs Seirawan;;½-½;46;1983;Linares;B18 Caro-Kann, Classical
1095. Karpov vs Polugaevsky;;½-½;56;1983;50th USSR Championship;E32 Nimzo-Indian, Classical
1096. G Agzamov vs Karpov;;½-½;35;1983;50th USSR Championship;E06 Catalan, Closed, 5.Nf3
1097. Karpov vs Yusupov;;1-0;44;1983;50th USSR Championship;C82 Ruy Lopez, Open
1098. Balashov vs Karpov;;½-½;40;1983;50th USSR Championship;C92 Ruy Lopez, Closed
1099. Karpov vs Azmaiparashvili;;0-1;41;1983;50th USSR Championship;B08 Pirc, Classical
1100. Psakhis vs Karpov;;½-½;18;1983;50th USSR Championship;C42 Petrov Defense
Game;;Result;Moves;Year;Event/Locale;Opening
1101. Romanishin vs Karpov;;0-1;62;1983;50th USSR Championship;A07 King's Indian Attack
1102. Karpov vs Geller;;1-0;31;1983;50th USSR Championship;C84 Ruy Lopez, Closed
1103. Petrosian vs Karpov;;½-½;28;1983;50th USSR Championship;D37 Queen's Gambit Declined
1104. Karpov vs K Lerner;;1-0;50;1983;50th USSR Championship;B07 Pirc
1105. Vaganian vs Karpov;;½-½;16;1983;50th USSR Championship;E17 Queen's Indian
1106. Karpov vs Beliavsky;;1-0;78;1983;50th USSR Championship;C92 Ruy Lopez, Closed
1107. V Malaniuk vs Karpov;;½-½;40;1983;50th USSR Championship;B46 Sicilian, Taimanov Variation
1108. Karpov vs Tukmakov;;½-½;15;1983;50th USSR Championship;C84 Ruy Lopez, Closed
1109. Razuvaev vs Karpov;;½-½;18;1983;50th USSR Championship;E19 Queen's Indian, Old Main line, 9.Qxc3
1110. Karpov vs Timman;;½-½;79;1983;EUR-chT (Men) 8th;B81 Sicilian, Scheveningen, Keres Attack
1111. E Mortensen vs Karpov;;0-1;43;1983;EUR-chT (Men) 8th;B92 Sicilian, Najdorf, Opocensky Variation
1112. Karpov vs Ljubojevic;;½-½;13;1983;EUR-chT (Men) 8th;D11 Queen's Gambit Declined Slav
1113. Miles vs Karpov;;½-½;15;1983;EUR-chT (Men) 8th;D37 Queen's Gambit Declined
1114. Karpov vs Taimanov;;1-0;56;1983;16th Soviet Team Championship qual-2;B46 Sicilian, Taimanov Variation
1115. Tal vs Karpov;;½-½;24;1983;16th Soviet Team Championship Final-A;C42 Petrov Defense
1116. Karpov vs Beliavsky;;½-½;34;1983;16th Soviet Team Championship Final-A;C57 Two Knights
1117. Karpov vs T Giorgadze;;1-0;37;1983;16th Soviet Team Championship Final-A;B92 Sicilian, Najdorf, Opocensky Variation
1118. Lobron vs Karpov;;0-1;40;1983;FRG-ch International;C42 Petrov Defense
1119. Karpov vs P Ostermeyer;;½-½;80;1983;FRG-ch International;B92 Sicilian, Najdorf, Opocensky Variation
1120. Karpov vs D Chen;;1-0;27;1983;FRG-ch International;C05 French, Tarrasch
1121. Sosonko vs Karpov;;½-½;18;1983;FRG-ch International;E06 Catalan, Closed, 5.Nf3
1122. Qi Jingxuan vs Karpov;;0-1;44;1983;FRG-ch International;B97 Sicilian, Najdorf
1123. H Bastian vs Karpov;;0-1;27;1983;FRG-ch International;B25 Sicilian, Closed
1124. Kavalek vs Karpov;;½-½;14;1983;FRG-ch International;C42 Petrov Defense
1125. M Glienke vs Karpov;;0-1;30;1983;FRG-ch International;A46 Queen's Pawn Game
Game;;Result;Moves;Year;Event/Locale;Opening
1126. Karpov vs D Chen;;1-0;27;1983;FRG-ch International;C05 French, Tarrasch
1127. Sosonko vs Karpov;;½-½;18;1983;FRG-ch International;E06 Catalan, Closed, 5.Nf3
1128. Karpov vs H Pfleger;;1-0;35;1983;FRG-ch International;B08 Pirc, Classical
1129. Karpov vs Quinteros;;½-½;30;1983;FRG-ch International;B83 Sicilian
1130. Karpov vs P Ostermeyer;;½-½;80;1983;FRG-ch International;B92 Sicilian, Najdorf, Opocensky Variation
1131. Kavalek vs Karpov;;½-½;14;1983;FRG-ch International;C42 Petrov Defense
1132. Karpov vs W Hartmann;;0-1;41;1983;FRG-ch International;B81 Sicilian, Scheveningen, Keres Attack
1133. Andersson vs Karpov;;½-½;21;1983;Interpolis 7th;E19 Queen's Indian, Old Main line, 9.Qxc3
1134. Karpov vs Polugaevsky;;1-0;57;1983;Interpolis 7th;D32 Queen's Gambit Declined, Tarrasch
1135. Sosonko vs Karpov;;½-½;26;1983;Interpolis 7th;E06 Catalan, Closed, 5.Nf3
1136. Spassky vs Karpov;;½-½;36;1983;Interpolis 7th;C92 Ruy Lopez, Closed
1137. Karpov vs Portisch;;½-½;29;1983;Interpolis 7th;D20 Queen's Gambit Accepted
1138. Huebner vs Karpov;;½-½;44;1983;Interpolis 7th;D37 Queen's Gambit Declined
1139. Karpov vs Van der Wiel;;1-0;57;1983;Interpolis 7th;B44 Sicilian
1140. Timman vs Karpov;;½-½;19;1983;Interpolis 7th;E17 Queen's Indian
1141. Karpov vs Seirawan;;1-0;43;1983;Interpolis 7th;B18 Caro-Kann, Classical
1142. Vaganian vs Karpov;;½-½;13;1983;Interpolis 7th;A36 English
1143. Karpov vs Ljubojevic;;½-½;13;1983;Interpolis 7th;E04 Catalan, Open, 5.Nf3
1144. Karpov vs Browne;;1-0;31;1983;Bath TV-A;A30 English, Symmetrical
1145. I Rogers vs Karpov;;½-½;42;1983;Bath TV-A;E06 Catalan, Closed, 5.Nf3
1146. Karpov vs I Rogers;;1-0;29;1983;Bath TV-A;B01 Scandinavian
1147. Karpov vs Chandler;;1-0;36;1983;Bath TV-A;D32 Queen's Gambit Declined, Tarrasch
1148. Browne vs Karpov;;½-½;22;1983;Bath TV-A;E12 Queen's Indian
1149. Chandler vs Karpov;;0-1;30;1983;Bath TV-A;C50 Giuoco Piano
1150. Karpov vs Miles;;0-1;39;1983;Bath TV-1pl;B16 Caro-Kann, Bronstein-Larsen Variation
Game;;Result;Moves;Year;Event/Locale;Opening
1151. Adorjan vs Karpov;;½-½;11;1984;Oslo;A29 English, Four Knights, Kingside Fianchetto
1152. Karpov vs de Firmian;;½-½;44;1984;Oslo;D42 Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3
1153. Karpov vs Hort;;1-0;37;1984;Oslo;B00 Uncommon King's Pawn Opening
1154. Karpov vs Miles;;1-0;38;1984;Oslo;B16 Caro-Kann, Bronstein-Larsen Variation
1155. T Wedberg vs Karpov;;½-½;18;1984;Oslo;C85 Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)
1156. Karpov vs Huebner;;½-½;35;1984;Oslo;D27 Queen's Gambit Accepted, Classical
1157. S Makarichev vs Karpov;;½-½;23;1984;Oslo;C43 Petrov, Modern Attack
1158. J Arnason vs Karpov;;½-½;16;1984;Oslo;C42 Petrov Defense
1159. Karpov vs S Agdestein;;1-0;38;1984;Oslo;C18 French, Winawer
1160. Andersson vs Karpov;;½-½;25;1984;Phillips & Drew GLC Kings;E19 Queen's Indian, Old Main line, 9.Qxc3
1161. Karpov vs Chandler;;1-0;37;1984;Phillips & Drew GLC Kings;D34 Queen's Gambit Declined, Tarrasch
1162. Timman vs Karpov;;0-1;26;1984;Phillips & Drew GLC Kings;C45 Scotch Game
1163. Karpov vs Polugaevsky;;½-½;25;1984;Phillips & Drew GLC Kings;A33 English, Symmetrical
1164. Speelman vs Karpov;;0-1;38;1984;Phillips & Drew GLC Kings;A46 Queen's Pawn Game
1165. Karpov vs Miles;;1-0;32;1984;Phillips & Drew GLC Kings;C92 Ruy Lopez, Closed
1166. Vaganian vs Karpov;;½-½;15;1984;Phillips & Drew GLC Kings;E11 Bogo-Indian Defense
1167. Karpov vs Korchnoi;;1-0;38;1984;Phillips & Drew GLC Kings;D91 Grunfeld, 5.Bg5
1168. Seirawan vs Karpov;;½-½;53;1984;Phillips & Drew GLC Kings;E06 Catalan, Closed, 5.Nf3
1169. Karpov vs A J Mestel;;1-0;61;1984;Phillips & Drew GLC Kings;C05 French, Tarrasch
1170. E Torre vs Karpov;;1-0;45;1984;Phillips & Drew GLC Kings;E42 Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein)
1171. Ribli vs Karpov;;½-½;21;1984;Phillips & Drew GLC Kings;D55 Queen's Gambit Declined
1172. Karpov vs Nunn;;½-½;22;1984;Phillips & Drew GLC Kings;C84 Ruy Lopez, Closed
1173. Karpov vs N Carr;;0-1;38;1984;Simul, 20b;B08 Pirc, Classical
1174. Karpov vs M Condie;;½-½;62;1984;Simul, 23b;C60 Ruy Lopez
1175. Karpov vs Andersson;;1-0;85;1984;USSR vs. Rest of the World;E11 Bogo-Indian Defense
Game;;Result;Moves;Year;Event/Locale;Opening
1176. Andersson vs Karpov;;½-½;17;1984;USSR vs. Rest of the World;E19 Queen's Indian, Old Main line, 9.Qxc3
1177. Karpov vs Andersson;;½-½;23;1984;USSR vs. Rest of the World;D67 Queen's Gambit Declined, Orthodox Defense, Bd3 line
1178. Andersson vs Karpov;;½-½;18;1984;USSR vs. Rest of the World;E12 Queen's Indian
1179. Karpov vs Kasparov;;½-½;36;1984;Karpov - Kasparov World Championship Match 1984/85;B81 Sicilian, Scheveningen, Keres Attack
1180. Kasparov vs Karpov;;½-½;47;1984;Karpov - Kasparov World Championship Match 1984/85;E17 Queen's Indian
1181. Karpov vs Kasparov;;1-0;31;1984;Karpov - Kasparov World Championship Match 1984/85;B44 Sicilian
1182. Kasparov vs Karpov;;½-½;44;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1183. Karpov vs Kasparov;;½-½;21;1984;Karpov - Kasparov World Championship Match 1984/85;B83 Sicilian
1184. Kasparov vs Karpov;;0-1;70;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1185. Karpov vs Kasparov;;1-0;44;1984;Karpov - Kasparov World Championship Match 1984/85;D34 Queen's Gambit Declined, Tarrasch
1186. Kasparov vs Karpov;;½-½;20;1984;Karpov - Kasparov World Championship Match 1984/85;E06 Catalan, Closed, 5.Nf3
1187. Karpov vs Kasparov;;1-0;70;1984;Karpov - Kasparov World Championship Match 1984/85;D34 Queen's Gambit Declined, Tarrasch
1188. Kasparov vs Karpov;;½-½;15;1984;Karpov - Kasparov World Championship Match 1984/85;E12 Queen's Indian
1189. Karpov vs Kasparov;;½-½;41;1984;Karpov - Kasparov World Championship Match 1984/85;A15 English
1190. Kasparov vs Karpov;;½-½;21;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1191. Karpov vs Kasparov;;½-½;33;1984;Karpov - Kasparov World Championship Match 1984/85;A15 English
1192. Kasparov vs Karpov;;½-½;16;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1193. Karpov vs Kasparov;;½-½;93;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1194. Kasparov vs Karpov;;½-½;37;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1195. Karpov vs Kasparov;;½-½;23;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1196. Kasparov vs Karpov;;½-½;25;1984;Karpov - Kasparov World Championship Match 1984/85;E15 Queen's Indian
1197. Karpov vs Kasparov;;½-½;51;1984;Karpov - Kasparov World Championship Match 1984/85;D37 Queen's Gambit Declined
1198. Kasparov vs Karpov;;½-½;15;1984;Karpov - Kasparov World Championship Match 1984/85;A15 English
1199. Karpov vs Kasparov;;½-½;34;1984;Karpov - Kasparov World Championship Match 1984/85;D37 Queen's Gambit Declined
1200. Kasparov vs Karpov;;½-½;25;1984;Karpov - Kasparov World Championship Match 1984/85;E06 Catalan, Closed, 5.Nf3
Game;;Result;Moves;Year;Event/Locale;Opening
1201. Karpov vs Kasparov;;½-½;22;1984;Karpov - Kasparov World Championship Match 1984/85;D30 Queen's Gambit Declined
1202. Kasparov vs Karpov;;½-½;17;1984;Karpov - Kasparov World Championship Match 1984/85;A33 English, Symmetrical
1203. Karpov vs Kasparov;;½-½;22;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1204. Kasparov vs Karpov;;½-½;23;1984;Karpov - Kasparov World Championship Match 1984/85;A33 English, Symmetrical
1205. Karpov vs Kasparov;;1-0;59;1984;Karpov - Kasparov World Championship Match 1984/85;D37 Queen's Gambit Declined
1206. Kasparov vs Karpov;;½-½;25;1984;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
1207. Karpov vs Kasparov;;½-½;13;1984;Karpov - Kasparov World Championship Match 1984/85;D47 Queen's Gambit Declined Semi-Slav
1208. Kasparov vs Karpov;;½-½;20;1984;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
1209. Karpov vs Kasparov;;½-½;35;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1210. Kasparov vs Karpov;;1-0;41;1984;Karpov - Kasparov World Championship Match 1984/85;E12 Queen's Indian
1211. Karpov vs Kasparov;;½-½;20;1984;Karpov - Kasparov World Championship Match 1984/85;D45 Queen's Gambit Declined Semi-Slav
1212. Kasparov vs Karpov;;½-½;20;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1213. Karpov vs Kasparov;;½-½;17;1984;Karpov - Kasparov World Championship Match 1984/85;B64 Sicilian, Richter-Rauzer Attack
1214. Kasparov vs Karpov;;½-½;41;1984;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1215. Kasparov vs Karpov;;½-½;25;1985;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1216. Karpov vs Kasparov;;½-½;15;1985;Karpov - Kasparov World Championship Match 1984/85;B63 Sicilian, Richter-Rauzer Attack
1217. Karpov vs Kasparov;;½-½;48;1985;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1218. Kasparov vs Karpov;;½-½;71;1985;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1219. Karpov vs Kasparov;;½-½;71;1985;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
1220. Kasparov vs Karpov;;½-½;26;1985;Karpov - Kasparov World Championship Match 1984/85;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1221. Karpov vs Kasparov;;½-½;21;1985;Karpov - Kasparov World Championship Match 1984/85;B84 Sicilian, Scheveningen
1222. Kasparov vs Karpov;;½-½;38;1985;Karpov - Kasparov World Championship Match 1984/85;C92 Ruy Lopez, Closed
1223. Karpov vs Kasparov;;½-½;36;1985;Karpov - Kasparov World Championship Match 1984/85;B83 Sicilian
1224. Kasparov vs Karpov;;½-½;44;1985;Karpov - Kasparov World Championship Match 1984/85;C92 Ruy Lopez, Closed
1225. Karpov vs Kasparov;;0-1;32;1985;Karpov - Kasparov World Championship Match 1984/85;D52 Queen's Gambit Declined
Game;;Result;Moves;Year;Event/Locale;Opening
1226. Kasparov vs Karpov;;1-0;67;1985;Karpov - Kasparov World Championship Match 1984/85;C42 Petrov Defense
1227. Karpov vs Nunn;;1-0;40;1985;Amsterdam OHRA;B92 Sicilian, Najdorf, Opocensky Variation
1228. J Sunye Neto vs Karpov;;0-1;33;1985;Amsterdam OHRA;A22 English
1229. Karpov vs S Martinovic;;½-½;72;1985;Amsterdam OHRA;B84 Sicilian, Scheveningen
1230. Karpov vs Miles;;1-0;65;1985;Amsterdam OHRA;B18 Caro-Kann, Classical
1231. Timman vs Karpov;;½-½;58;1985;Amsterdam OHRA;C45 Scotch Game
1232. Nunn vs Karpov;;0-1;39;1985;Amsterdam OHRA;C84 Ruy Lopez, Closed
1233. Karpov vs J Sunye Neto;;½-½;45;1985;Amsterdam OHRA;A13 English
1234. S Martinovic vs Karpov;;½-½;11;1985;Amsterdam OHRA;C85 Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)
1235. Miles vs Karpov;;½-½;15;1985;Amsterdam OHRA;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1236. Karpov vs Timman;;½-½;16;1985;Amsterdam OHRA;A34 English, Symmetrical
1237. Kasparov vs Karpov;;1-0;42;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1238. Karpov vs Kasparov;;½-½;65;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
1239. Kasparov vs Karpov;;½-½;20;1985;Karpov - Kasparov World Championship Match;D37 Queen's Gambit Declined
1240. Karpov vs Kasparov;;1-0;63;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
1241. Kasparov vs Karpov;;0-1;41;1985;Karpov - Kasparov World Championship Match;C92 Ruy Lopez, Closed
1242. Karpov vs Kasparov;;½-½;27;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
1243. Kasparov vs Karpov;;½-½;31;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1244. Karpov vs Kasparov;;½-½;49;1985;Karpov - Kasparov World Championship Match;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1245. Kasparov vs Karpov;;½-½;53;1985;Karpov - Kasparov World Championship Match;C92 Ruy Lopez, Closed
1246. Karpov vs Kasparov;;½-½;37;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
1247. Kasparov vs Karpov;;1-0;25;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1248. Karpov vs Kasparov;;½-½;18;1985;Karpov - Kasparov World Championship Match;B44 Sicilian
1249. Kasparov vs Karpov;;½-½;24;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1250. Karpov vs Kasparov;;½-½;32;1985;Karpov - Kasparov World Championship Match;B45 Sicilian, Taimanov
Game;;Result;Moves;Year;Event/Locale;Opening
1251. Kasparov vs Karpov;;½-½;28;1985;Karpov - Kasparov World Championship Match;C42 Petrov Defense
1252. Karpov vs Kasparov;;0-1;40;1985;Karpov - Kasparov World Championship Match;B44 Sicilian
1253. Kasparov vs Karpov;;½-½;29;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1254. Karpov vs Kasparov;;½-½;25;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
1255. Kasparov vs Karpov;;1-0;42;1985;Karpov - Kasparov World Championship Match;E21 Nimzo-Indian, Three Knights
1256. Karpov vs Kasparov;;½-½;85;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
1257. Kasparov vs Karpov;;½-½;46;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
1258. Karpov vs Kasparov;;1-0;42;1985;Karpov - Kasparov World Championship Match;D31 Queen's Gambit Declined
1259. Kasparov vs Karpov;;½-½;41;1985;Karpov - Kasparov World Championship Match;D55 Queen's Gambit Declined
1260. Karpov vs Kasparov;;0-1;42;1985;Karpov - Kasparov World Championship Match;B84 Sicilian, Scheveningen
1261. Karpov vs Suba;;½-½;41;1985;World Team Championship;E21 Nimzo-Indian, Three Knights
1262. Qi Jingxuan vs Karpov;;0-1;54;1985;World Team Championship;A45 Queen's Pawn Game
1263. Karpov vs Spassky;;1-0;90;1985;World Team Championship;D55 Queen's Gambit Declined
1264. Karpov vs Portisch;;½-½;31;1985;World Team Championship;E21 Nimzo-Indian, Three Knights
1265. A A R Afifi vs Karpov;;0-1;70;1985;World Team Championship;A22 English
1266. Karpov vs Miles;;½-½;15;1985;World Team Championship;E10 Queen's Pawn Game
1267. Lobron vs Karpov;;½-½;38;1985;World Team Championship;A04 Reti Opening
1268. Beliavsky vs Karpov;;½-½;42;1986;EUR-Cup Trud-CSKA;B10 Caro-Kann
1269. Karpov vs Ftacnik;;½-½;22;1986;Vienna IBM Open;A07 King's Indian Attack
1270. Karpov vs S Kindermann;;1-0;41;1986;Vienna IBM Open;B81 Sicilian, Scheveningen, Keres Attack
1271. Karpov vs Mednis;;1-0;69;1986;Vienna IBM Open;C18 French, Winawer
1272. Gheorghiu vs Karpov;;½-½;13;1986;Vienna IBM Open;E17 Queen's Indian
1273. F Hoelzl vs Karpov;;0-1;54;1986;Vienna IBM Open;A17 English
1274. Karpov vs Korchnoi;;½-½;59;1986;Vienna IBM Open;D02 Queen's Pawn Game
1275. Quinteros vs Karpov;;½-½;10;1986;Vienna IBM Open;E02 Catalan, Open, 5.Qa4
Game;;Result;Moves;Year;Event/Locale;Opening
1276. Chandler vs Karpov;;½-½;13;1986;Vienna IBM Open;C92 Ruy Lopez, Closed
1277. Nunn vs Karpov;;½-½;13;1986;Vienna IBM Open;C92 Ruy Lopez, Closed
1278. E Torre vs Karpov;;½-½;30;1986;SWIFT Tournament 1st;D31 Queen's Gambit Declined
1279. Karpov vs Timman;;1-0;105;1986;SWIFT Tournament 1st;A15 English
1280. Romanishin vs Karpov;;½-½;21;1986;SWIFT Tournament 1st;C78 Ruy Lopez
1281. Karpov vs Van der Wiel;;½-½;64;1986;SWIFT Tournament 1st;B44 Sicilian
1282. Karpov vs Ljubojevic;;1-0;34;1986;SWIFT Tournament 1st;C05 French, Tarrasch
1283. M Jadoul vs Karpov;;0-1;41;1986;SWIFT Tournament 1st;B44 Sicilian
1284. Korchnoi vs Karpov;;½-½;21;1986;SWIFT Tournament 1st;A04 Reti Opening
1285. Winants vs Karpov;;0-1;26;1986;SWIFT Tournament 1st;A46 Queen's Pawn Game
1286. Karpov vs Seirawan;;1-0;75;1986;SWIFT Tournament 1st;C42 Petrov Defense
1287. A Zapata vs Karpov;;0-1;64;1986;SWIFT Tournament 1st;C77 Ruy Lopez
1288. Karpov vs Miles;;1-0;40;1986;SWIFT Tournament 1st;A31 English, Symmetrical, Benoni Formation
1289. A Sokolov vs Karpov;;1-0;41;1986;Bugojno;C92 Ruy Lopez, Closed
1290. Karpov vs Ljubojevic;;1-0;86;1986;Bugojno;A25 English
1291. Timman vs Karpov;;½-½;28;1986;Bugojno;C93 Ruy Lopez, Closed, Smyslov Defense
1292. Spassky vs Karpov;;½-½;23;1986;Bugojno;A07 King's Indian Attack
1293. Karpov vs Yusupov;;1-0;61;1986;Bugojno;C53 Giuoco Piano
1294. Portisch vs Karpov;;½-½;18;1986;Bugojno;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1295. Karpov vs A Sokolov;;½-½;16;1986;Bugojno;A34 English, Symmetrical
1296. Karpov vs Miles;;½-½;51;1986;Bugojno;D07 Queen's Gambit Declined, Chigorin Defense
1297. Karpov vs Spassky;;1-0;34;1986;Bugojno;C76 Ruy Lopez, Modern Steinitz Defense, Fianchetto Variation
1298. Yusupov vs Karpov;;½-½;23;1986;Bugojno;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
1299. Karpov vs Timman;;1-0;70;1986;Bugojno;A15 English
1300. Ljubojevic vs Karpov;;½-½;44;1986;Bugojno;C42 Petrov Defense
